選挙区,都道府県,都道府県コード,区番号,第一次産業比率,第二次産業比率,第三次産業比率,所得水準,平均年収（円）,失業率,大卒率,主要産業,経済課題,主要政策関心,生活費指数,高齢化依存率
茨城県7区,茨城県,8,7,0.05,0.3,0.65,中,4500000,0.027,0.36,製造業、農業、研究機関,東京への通勤依存、県南北格差、交通インフラ,科学技術振興、交通整備、農業振興,96.0,0.32
栃木県1区,栃木県,9,1,0.04,0.32,0.64,中,4450000,0.025,0.34,自動車部品製造、農業、観光業,製造業の海外移転、人口減少、北部過疎化,産業振興、観光振興、子育て支援,96.0,0.31
栃木県2区,栃木県,9,2,0.04,0.32,0.64,中,4450000,0.025,0.34,自動車部品製造、農業、観光業,製造業の海外移転、人口減少、北部過疎化,産業振興、観光振興、子育て支援,96.0,0.31
栃木県3区,栃木県,9,3,0.04,0.32,0.64,中,4450000,0.025,0.34,自動車部品製造、農業、観光業,製造業の海外移転、人口減少、北部過疎化,産業振興、観光振興、子育て支援,96.0,0.31
栃木県4区,栃木県,9,4,0.04,0.32,0.64,中,4450000,0.025,0.34,自動車部品製造、農業、観光業,製造業の海外移転、人口減少、北部過疎化,産業振興、観光振興、子育て支援,96.0,0.31
栃木県5区,栃木県,9,5,0.04,0.32,0.64,中,4450000,0.025,0.34,自動車部品製造、農業、観光業,製造業の海外移転、人口減少、北部過疎化,産業振興、観光振興、子育て支援,96.0,0.31
群馬県1区,群馬県,10,1,0.04,0.32,0.64,中,4400000,0.025,0.33,自動車産業、電機製造、農業,人口減少、製造業構造転換、中山間地過疎化,産業振興、交通インフラ、防災,95.5,0.32
群馬県2区,群馬県,10,2,0.04,0.32,0.64,中,4400000,0.025,0.33,自動車産業、電機製造、農業,人口減少、製造業構造転換、中山間地過疎化,産業振興、交通インフラ、防災,95.5,0.32
群馬県3区,群馬県,10,3,0.04,0.32,0.64,中,4400000,0.025,0.33,自動車産業、電機製造、農業,人口減少、製造業構造転換、中山間地過疎化,産業振興、交通インフラ、防災,95.5,0.32
群馬県4区,群馬県,10,4,0.04,0.32,0.64,中,4400000,0.025,0.33,自動車産業、電機製造、農業,人口減少、製造業構造転換、中山間地過疎化,産業振興、交通インフラ、防災,95.5,0.32
群馬県5区,群馬県,10,5,0.04,0.32,0.64,中,4400000,0.025,0.33,自動車産業、電機製造、農業,人口減少、製造業構造転換、中山間地過疎化,産業振興、交通インフラ、防災,95.5,0.32
埼玉県1区,埼玉県,11,1,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
埼玉県2区,埼玉県,11,2,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
埼玉県3区,埼玉県,11,3,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
埼玉県4区,埼玉県,11,4,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
埼玉県5区,埼玉県,11,5,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
埼玉県6区,埼玉県,11,6,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
埼玉県7区,埼玉県,11,7,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
埼玉県8区,埼玉県,11,8,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
埼玉県9区,埼玉県,11,9,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
埼玉県10区,埼玉県,11,10,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
埼玉県11区,埼玉県,11,11,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
埼玉県12区,埼玉県,11,12,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
埼玉県13区,埼玉県,11,13,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
埼玉県14区,埼玉県,11,14,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
埼玉県15区,埼玉県,11,15,0.01,0.22,0.77,中,4800000,0.026,0.43,商業・サービス業、製造業、物流,東京依存、通勤時間の長さ、急速な高齢化,交通インフラ、子育て支援、医療・介護,100.0,0.3
千葉県1区,千葉県,12,1,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,交通インフラ、防災、観光振興,99.5,0.3
千葉県2区,千葉県,12,2,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,交通インフラ、防災、観光振興,99.5,0.3
千葉県3区,千葉県,12,3,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,交通インフラ、防災、観光振興,99.5,0.3
千葉県4区,千葉県,12,4,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,交通インフラ、防災、観光振興,99.5,0.3
千葉県5区,千葉県,12,5,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,交通インフラ、防災、観光振興,99.5,0.3
千葉県6区,千葉県,12,6,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,交通インフラ、防災、観光振興,99.5,0.3
千葉県7区,千葉県,12,7,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,交通インフラ、防災、観光振興,99.5,0.3
千葉県8区,千葉県,12,8,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,交通インフラ、防災、観光振興,99.5,0.3
千葉県9区,千葉県,12,9,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,交通インフラ、防災、観光振興,99.5,0.3
千葉県10区,千葉県,12,10,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,交通インフラ、防災、観光振興,99.5,0.3
千葉県11区,千葉県,12,11,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,交通インフラ、防災、観光振興,99.5,0.3
千葉県12区,千葉県,12,12,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,交通インフラ、防災、観光振興,99.5,0.3
千葉県13区,千葉県,12,13,0.02,0.19,0.79,中,4850000,0.026,0.42,商業・サービス業、石油化学、農業,東京依存、房総地域過疎化、防災対策,交通インフラ、防災、観光振興,99.5,0.3
東京都1区,東京都,13,1,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都2区,東京都,13,2,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都3区,東京都,13,3,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都4区,東京都,13,4,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都5区,東京都,13,5,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都6区,東京都,13,6,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都7区,東京都,13,7,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都8区,東京都,13,8,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都9区,東京都,13,9,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都10区,東京都,13,10,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都11区,東京都,13,11,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都12区,東京都,13,12,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都13区,東京都,13,13,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都14区,東京都,13,14,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都15区,東京都,13,15,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都16区,東京都,13,16,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都17区,東京都,13,17,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都18区,東京都,13,18,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都19区,東京都,13,19,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都20区,東京都,13,20,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都21区,東京都,13,21,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都22区,東京都,13,22,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都23区,東京都,13,23,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都24区,東京都,13,24,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
東京都25区,東京都,13,25,0.0,0.1,0.9,高,6000000,0.028,0.58,金融・保険、情報通信、サービス業,一極集中、待機児童、住宅価格高騰,子育て支援、住宅政策、経済成長,107.0,0.26
神奈川県1区,神奈川県,14,1,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県2区,神奈川県,14,2,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県3区,神奈川県,14,3,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県4区,神奈川県,14,4,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県5区,神奈川県,14,5,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県6区,神奈川県,14,6,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県7区,神奈川県,14,7,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県8区,神奈川県,14,8,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県9区,神奈川県,14,9,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県10区,神奈川県,14,10,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県11区,神奈川県,14,11,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県12区,神奈川県,14,12,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県13区,神奈川県,14,13,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県14区,神奈川県,14,14,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県15区,神奈川県,14,15,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県16区,神奈川県,14,16,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
神奈川県17区,神奈川県,14,17,0.0,0.18,0.82,高,5400000,0.027,0.5,製造業、情報通信、商業,人口集中、高齢化の加速、基地問題,子育て支援、産業振興、防災,104.0,0.28
新潟県1区,新潟県,15,1,0.05,0.27,0.68,中,4050000,0.027,0.32,稲作農業、金属加工、食品製造,人口減少、豪雪対策、若者流出,農業振興、インフラ整備、エネルギー政策,95.0,0.36
新潟県2区,新潟県,15,2,0.05,0.27,0.68,中,4050000,0.027,0.32,稲作農業、金属加工、食品製造,人口減少、豪雪対策、若者流出,農業振興、インフラ整備、エネルギー政策,95.0,0.36
新潟県3区,新潟県,15,3,0.05,0.27,0.68,中,4050000,0.027,0.32,稲作農業、金属加工、食品製造,人口減少、豪雪対策、若者流出,農業振興、インフラ整備、エネルギー政策,95.0,0.36
新潟県4区,新潟県,15,4,0.05,0.27,0.68,中,4050000,0.027,0.32,稲作農業、金属加工、食品製造,人口減少、豪雪対策、若者流出,農業振興、インフラ整備、エネルギー政策,95.0,0.36
新潟県5区,新潟県,15,5,0.05,0.27,0.68,中,4050000,0.027,0.32,稲作農業、金属加工、食品製造,人口減少、豪雪対策、若者流出,農業振興、インフラ整備、エネルギー政策,95.0,0.36
新潟県6区,新潟県,15,6,0.05,0.27,0.68,中,4050000,0.027,0.32,稲作農業、金属加工、食品製造,人口減少、豪雪対策、若者流出,農業振興、インフラ整備、エネルギー政策,95.0,0.36
富山県1区,富山県,16,1,0.02,0.35,0.63,中,4500000,0.019,0.36,医薬品製造、アルミ加工、機械製造,人口減少、製造業の高度化、豪雪対策,産業振興、子育て支援、インフラ維持,96.0,0.35
富山県2区,富山県,16,2,0.02,0.35,0.63,中,4500000,0.019,0.36,医薬品製造、アルミ加工、機械製造,人口減少、製造業の高度化、豪雪対策,産業振興、子育て支援、インフラ維持,96.0,0.35
富山県3区,富山県,16,3,0.02,0.35,0.63,中,4500000,0.019,0.36,医薬品製造、アルミ加工、機械製造,人口減少、製造業の高度化、豪雪対策,産業振興、子育て支援、インフラ維持,96.0,0.35
石川県1区,石川県,17,1,0.02,0.27,0.71,中,4350000,0.021,0.4,機械製造、繊維、観光業,能登地域過疎化、伝統工芸の後継者不足、震災復興,復興・防災、観光振興、伝統産業支援,96.5,0.33
石川県2区,石川県,17,2,0.02,0.27,0.71,中,4350000,0.021,0.4,機械製造、繊維、観光業,能登地域過疎化、伝統工芸の後継者不足、震災復興,復興・防災、観光振興、伝統産業支援,96.5,0.33
石川県3区,石川県,17,3,0.02,0.27,0.71,中,4350000,0.021,0.4,機械製造、繊維、観光業,能登地域過疎化、伝統工芸の後継者不足、震災復興,復興・防災、観光振興、伝統産業支援,96.5,0.33
福井県1区,福井県,18,1,0.03,0.33,0.64,中,4400000,0.018,0.35,眼鏡製造、繊維、原子力関連,人口減少、原発依存経済、若者流出,エネルギー政策、産業振興、子育て支援,95.5,0.34
福井県2区,福井県,18,2,0.03,0.33,0.64,中,4400000,0.018,0.35,眼鏡製造、繊維、原子力関連,人口減少、原発依存経済、若者流出,エネルギー政策、産業振興、子育て支援,95.5,0.34
山梨県1区,山梨県,19,1,0.05,0.28,0.67,中,4200000,0.024,0.35,果樹農業、宝飾加工、観光業,人口減少、交通アクセス、産業多角化,観光振興、農業振興、交通インフラ,96.0,0.33
