district_id,district_name,total_personas,turnout_count,turnout_rate,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,margin,method
07_1,福島県1区,100,59,0.59,金子恵美,chudo,27,西山尚利,ldp,27,0,rule_based
07_2,福島県2区,100,58,0.58,根本拓,ldp,27,玄葉光一郎,chudo,23,4,rule_based
07_4,福島県4区,100,58,0.58,坂本竜太郎,ldp,32,山口洋太,dpfp,10,22,rule_based
08_1,茨城県1区,100,67,0.67,田所嘉徳,ldp,34,福島伸享,independent,17,17,rule_based
08_2,茨城県2区,100,57,0.57,額賀福志郎,ldp,41,宮内匠,sansei,7,34,rule_based
08_3,茨城県3区,100,58,0.58,葉梨康弘,ldp,38,梶岡博樹,chudo,8,30,rule_based
08_4,茨城県4区,100,61,0.61,梶山弘志,ldp,51,吉田翔,jcp,10,41,rule_based
08_6,茨城県6区,100,57,0.57,国光文乃,ldp,34,青山大人,independent,13,21,rule_based
08_7,茨城県7区,100,58,0.58,永岡桂子,ldp,48,中村勇太,independent,10,38,rule_based
09_1,栃木県1区,100,59,0.59,船田元,ldp,35,青木弘,jcp,7,28,rule_based
09_2,栃木県2区,100,52,0.52,五十嵐清,ldp,25,福田昭夫,chudo,22,3,rule_based
09_3,栃木県3区,100,69,0.69,簗和生,ldp,54,伊賀央,chudo,12,42,rule_based
09_5,栃木県5区,100,59,0.59,茂木敏充,ldp,48,宮本陽介,sansei,4,44,rule_based
10_1,群馬県1区,100,57,0.57,中曽根康隆,ldp,34,河村正剛,chudo,16,18,rule_based
10_2,群馬県2区,100,63,0.63,井野俊郎,ldp,34,伊藤純子,hoshuto,8,26,rule_based
10_3,群馬県3区,100,64,0.64,笹川博義,ldp,47,長谷川嘉一,chudo,17,30,rule_based
10_4,群馬県4区,100,64,0.64,福田達夫,ldp,44,伊藤達也,jcp,8,36,rule_based
10_5,群馬県5区,100,56,0.56,小渕優子,ldp,46,木暮智貴,sansei,10,36,rule_based
11_2,埼玉県2区,100,53,0.53,新藤義孝,ldp,23,細谷勇人,dpfp,15,8,rule_based
11_4,埼玉県4区,100,56,0.56,穂坂泰,ldp,28,岸田光広,dpfp,13,15,rule_based
11_8,埼玉県8区,100,53,0.53,柴山昌彦,ldp,34,市来伴子,chudo,14,20,rule_based
11_9,埼玉県9区,100,61,0.61,大塚拓,ldp,35,杉村慎治,chudo,26,9,rule_based
11_11,埼玉県11区,100,54,0.54,小泉龍司,ldp,19,島田誠,chudo,10,9,rule_based
11_12,埼玉県12区,100,63,0.63,野中厚,ldp,36,森田俊和,chudo,27,9,rule_based
11_13,埼玉県13区,100,49,0.49,三ツ林裕巳,ldp,25,高井崇志,reiwa,10,15,rule_based
11_14,埼玉県14区,100,59,0.59,藤田誠,ldp,21,鈴木義弘,dpfp,20,1,rule_based
11_15,埼玉県15区,100,60,0.6,田中良生,ldp,23,小山田経子,chudo,18,5,rule_based
11_16,埼玉県16区,100,57,0.57,土屋品子,ldp,26,三角創太,chudo,18,8,rule_based
12_2,千葉県2区,100,56,0.56,小林鷹之,ldp,28,佐藤由美,chudo,17,11,rule_based
12_3,千葉県3区,100,54,0.54,松野博一,ldp,22,岡島一正,chudo,14,8,rule_based
12_5,千葉県5区,100,59,0.59,英利アルフィヤ,ldp,25,矢崎堅太郎,chudo,18,7,rule_based
12_6,千葉県6区,100,56,0.56,渡辺博道,ldp,26,浦野真,jcp,10,16,rule_based
12_7,千葉県7区,100,55,0.55,斎藤健,ldp,32,林田章裕,dpfp,17,15,rule_based
12_10,千葉県10区,100,59,0.59,小池正昭,ldp,28,谷田川元,chudo,20,8,rule_based
12_11,千葉県11区,100,49,0.49,森英介,ldp,30,椎名史明,jcp,10,20,rule_based
12_12,千葉県12区,100,67,0.67,浜田靖一,ldp,41,葛原茂,jcp,19,22,rule_based
12_13,千葉県13区,100,57,0.57,松本尚,ldp,30,宮川伸,chudo,19,11,rule_based
12_14,千葉県14区,100,61,0.61,長野春信,ldp,24,野田佳彦,chudo,22,2,rule_based
13_2,東京都2区,100,45,0.45,辻清人,ldp,11,今村充,ishin,8,3,rule_based
13_5,東京都5区,100,50,0.5,若宮健嗣,ldp,18,手塚仁雄,chudo,12,6,rule_based
13_6,東京都6区,100,53,0.53,畦元将吾,ldp,13,落合貴之,chudo,12,1,rule_based
13_9,東京都9区,100,47,0.47,菅原一秀,ldp,16,薬師寺道代,dpfp,13,3,rule_based
13_14,東京都14区,100,53,0.53,松島みどり,ldp,20,櫛渕万里,reiwa,11,9,rule_based
13_19,東京都19区,100,51,0.51,井手重美津子,jcp,13,諏訪玲子,dpfp,11,2,rule_based
13_20,東京都20区,100,58,0.58,木原誠二,ldp,21,宮本徹,jcp,16,5,rule_based
13_21,東京都21区,100,54,0.54,小田原潔,ldp,25,鈴木烈,chudo,12,13,rule_based
13_25,東京都25区,100,55,0.55,依田花蓮,chudo,16,井上信治,ldp,14,2,rule_based
13_26,東京都26区,100,50,0.5,松井佳苗子,jcp,11,坂元悠紀,dpfp,11,0,rule_based
13_27,東京都27区,100,57,0.57,長妻昭,chudo,23,黒崎祐一,ldp,18,5,rule_based
13_28,東京都28区,100,65,0.65,橋口奈保,ishin,14,三沢宏明,dpfp,13,1,rule_based
13_29,東京都29区,100,46,0.46,長沢興祐,ldp,15,樽井良和,dpfp,12,3,rule_based
13_30,東京都30区,100,63,0.63,長島昭久,ldp,25,五十嵐衣里,chudo,13,12,rule_based
14_9,神奈川県9区,100,50,0.5,上原正裕,ldp,25,笠浩史,chudo,19,6,rule_based
14_10,神奈川県10区,100,53,0.53,金村龍那,ishin,16,田中和徳,ldp,15,1,rule_based
14_11,神奈川県11区,100,53,0.53,小泉進次郎,ldp,29,為壮稔,jcp,14,15,rule_based
14_13,神奈川県13区,100,54,0.54,丸田康一郎,ldp,27,太栄志,chudo,15,12,rule_based
14_15,神奈川県15区,100,53,0.53,河野太郎,ldp,18,三好諒,reiwa,17,1,rule_based
14_17,神奈川県17区,100,56,0.56,牧島かれん,ldp,32,佐々木奈保美,chudo,17,15,rule_based
14_18,神奈川県18区,100,47,0.47,山際大志郎,ldp,14,宗野創,chudo,11,3,rule_based
14_19,神奈川県19区,100,59,0.59,草間剛,ldp,28,深作ヘスス,dpfp,15,13,rule_based
14_20,神奈川県20区,100,53,0.53,金沢結衣,ldp,24,大塚小百合,chudo,21,3,rule_based
15_2,新潟県2区,100,43,0.43,国定勇人,ldp,17,菊田真紀子,chudo,12,5,rule_based
15_3,新潟県3区,100,55,0.55,斎藤洋明,ldp,33,黒岩宇洋,chudo,16,17,rule_based
15_4,新潟県4区,100,53,0.53,鷲尾英一郎,ldp,25,米山隆一,chudo,15,10,rule_based
15_5,新潟県5区,100,51,0.51,高鳥修一,ldp,35,梅谷守,chudo,9,26,rule_based
16_1,富山県1区,100,55,0.55,中田宏,ldp,36,山登志浩,chudo,11,25,rule_based
16_2,富山県2区,100,48,0.48,上田英俊,ldp,28,越川康晴,chudo,20,8,rule_based
16_3,富山県3区,100,51,0.51,橘慶一郎,ldp,31,山本圭太,dpfp,10,21,rule_based
17_1,石川県1区,100,50,0.5,小森卓郎,ldp,22,小林誠,ishin,8,14,rule_based
17_2,石川県2区,100,47,0.47,佐々木紀,ldp,35,坂本浩,jcp,12,23,rule_based
17_3,石川県3区,100,48,0.48,西田昭二,ldp,31,近藤和也,chudo,9,22,rule_based
18_1,福井県1区,100,46,0.46,稲田朋美,ldp,27,波多野翼,chudo,7,20,rule_based
18_2,福井県2区,100,61,0.61,辻英之,chudo,36,斉木武志,independent,25,11,rule_based
19_1,山梨県1区,100,71,0.71,中谷真一,ldp,29,中島克仁,chudo,23,6,rule_based
19_2,山梨県2区,100,67,0.67,堀内詔子,ldp,53,早田記史,jcp,14,39,rule_based
20_1,長野県1区,100,54,0.54,若林健太,ldp,25,篠原孝,chudo,22,3,rule_based
20_3,長野県3区,100,57,0.57,井出庸生,ldp,28,神津健,chudo,17,11,rule_based
20_4,長野県4区,100,56,0.56,後藤茂之,ldp,35,花岡明久,dpfp,14,21,rule_based
20_5,長野県5区,100,53,0.53,宮下一郎,ldp,40,福田淳太,chudo,13,27,rule_based
21_1,岐阜県1区,100,50,0.5,野田聖子,ldp,35,服部学,chudo,7,28,rule_based
21_2,岐阜県2区,100,68,0.68,棚橋泰文,ldp,48,野村美穂,dpfp,8,40,rule_based
21_3,岐阜県3区,100,61,0.61,武藤容治,ldp,36,仙田晃宏,dpfp,16,20,rule_based
21_5,岐阜県5区,100,64,0.64,古屋圭司,ldp,33,真野哲,chudo,18,15,rule_based
22_1,静岡県1区,100,60,0.6,上川陽子,ldp,39,柴田将平,dpfp,14,25,rule_based
22_3,静岡県3区,100,58,0.58,山本裕三,ldp,26,小山展弘,chudo,20,6,rule_based
22_4,静岡県4区,100,42,0.42,田中健,dpfp,19,深沢陽一,ldp,14,5,rule_based
22_5,静岡県5区,100,55,0.55,細野豪志,ldp,34,中村正善,chudo,11,23,rule_based
22_6,静岡県6区,100,70,0.7,勝俣孝明,ldp,39,渡辺周,chudo,26,13,rule_based
22_7,静岡県7区,100,63,0.63,城内実,ldp,48,北野谷富子,dpfp,12,36,rule_based
22_8,静岡県8区,100,59,0.59,源馬謙太郎,chudo,27,稲葉大輔,ldp,17,10,rule_based
23_3,愛知県3区,100,52,0.52,近藤昭一,chudo,19,水野良彦,ldp,11,8,rule_based
23_4,愛知県4区,100,50,0.5,牧義夫,chudo,16,工藤彰三,ldp,15,1,rule_based
23_5,愛知県5区,100,57,0.57,西川厚志,chudo,19,岡本康宏,ldp,15,4,rule_based
23_6,愛知県6区,100,58,0.58,丹羽秀樹,ldp,28,国崎信江,chudo,13,15,rule_based
23_7,愛知県7区,100,67,0.67,鈴木淳司,ldp,37,日野紗里亜,dpfp,26,11,rule_based
23_8,愛知県8区,100,56,0.56,伴野豊,chudo,31,伊藤忠彦,ldp,24,7,rule_based
23_11,愛知県11区,100,53,0.53,丹野みどり,dpfp,31,藤沢忠盛,ldp,22,9,rule_based
23_13,愛知県13区,100,61,0.61,大西健介,chudo,26,石井拓,ldp,25,1,rule_based
23_14,愛知県14区,100,40,0.4,今枝宗一郎,ldp,21,大嶽理恵,chudo,15,6,rule_based
23_15,愛知県15区,100,60,0.6,根本幸典,ldp,21,小山千帆,chudo,19,2,rule_based
23_16,愛知県16区,100,53,0.53,松田功,chudo,16,福田徹,dpfp,14,2,rule_based
24_1,三重県1区,100,58,0.58,田村憲久,ldp,27,福森和歌子,chudo,23,4,rule_based
24_2,三重県2区,100,47,0.47,川崎秀人,ldp,33,下野幸助,chudo,11,22,rule_based
24_4,三重県4区,100,62,0.62,鈴木英敬,ldp,41,中川民英,jcp,11,30,rule_based
25_1,滋賀県1区,100,57,0.57,大岡敏孝,ldp,26,斎藤アレックス,ishin,20,6,rule_based
25_2,滋賀県2区,100,59,0.59,上野賢一郎,ldp,43,平尾道雄,chudo,9,34,rule_based
25_3,滋賀県3区,100,60,0.6,武村展英,ldp,29,北野裕子,sansei,9,20,rule_based
26_1,京都府1区,100,65,0.65,勝目康,ldp,23,鎌野敏徳,jcp,10,13,rule_based
26_3,京都府3区,100,57,0.57,泉健太,chudo,22,繁本護,ldp,13,9,rule_based
26_4,京都府4区,100,53,0.53,北神圭朗,ldp,34,吉田幸一,jcp,19,15,rule_based
26_5,京都府5区,100,67,0.67,本田太郎,ldp,50,山内健,jcp,17,33,rule_based
26_6,京都府6区,100,65,0.65,山井和則,chudo,36,園崎弘道,ldp,14,22,rule_based
27_1,大阪府1区,100,51,0.51,井上英孝,ishin,22,大西宏幸,ldp,11,11,rule_based
27_2,大阪府2区,100,54,0.54,高見亮,ishin,19,小川陽太,jcp,14,5,rule_based
27_3,大阪府3区,100,54,0.54,東徹,ishin,24,宇都宮優子,chudo,16,8,rule_based
27_4,大阪府4区,100,54,0.54,美延映夫,ishin,26,中山泰秀,ldp,9,17,rule_based
27_6,大阪府6区,100,59,0.59,西田薫,ishin,19,亀井淳,jcp,14,5,rule_based
27_7,大阪府7区,100,51,0.51,奥下剛光,ishin,33,川添健真,jcp,9,24,rule_based
27_8,大阪府8区,100,54,0.54,漆間譲司,ishin,27,高麗啓一郎,ldp,10,17,rule_based
27_9,大阪府9区,100,51,0.51,萩原佳,ishin,31,東田淳平,ldp,11,20,rule_based
27_11,大阪府11区,100,50,0.5,中司宏,ishin,22,松本直高,ldp,8,14,rule_based
27_12,大阪府12区,100,55,0.55,藤田文武,ishin,27,北川晋平,ldp,15,12,rule_based
27_14,大阪府14区,100,45,0.45,青柳仁士,ishin,19,尾立源幸,ldp,17,2,rule_based
27_15,大阪府15区,100,52,0.52,浦野靖人,ishin,23,島田智明,ldp,19,4,rule_based
27_16,大阪府16区,100,49,0.49,黒田征樹,ishin,28,森山浩行,chudo,12,16,rule_based
27_17,大阪府17区,100,51,0.51,馬場伸幸,ishin,30,信貴麻美,ldp,11,19,rule_based
27_18,大阪府18区,100,56,0.56,遠藤敬,ishin,39,内田隆嗣,ldp,10,29,rule_based
27_19,大阪府19区,100,61,0.61,伊東信久,ishin,25,谷川とむ,ldp,21,4,rule_based
28_1,兵庫県1区,100,50,0.5,井坂信彦,chudo,19,盛山正仁,ldp,14,5,rule_based
28_2,兵庫県2区,100,55,0.55,阿部圭史,ishin,24,船川治郎,chudo,12,12,rule_based
28_4,兵庫県4区,100,53,0.53,藤井比早之,ldp,37,中山高志,chudo,8,29,rule_based
28_5,兵庫県5区,100,60,0.6,谷公一,ldp,31,川戸康嗣,chudo,11,20,rule_based
28_9,兵庫県9区,100,58,0.58,西村康稔,ldp,34,橋本慧悟,chudo,13,21,rule_based
28_10,兵庫県10区,100,65,0.65,渡海紀三朗,ldp,28,掘井健智,ishin,18,10,rule_based
28_11,兵庫県11区,100,56,0.56,住吉寛紀,ishin,20,山田基靖,ldp,19,1,rule_based
28_12,兵庫県12区,100,63,0.63,山口壮,ldp,39,池畑浩太朗,ishin,18,21,rule_based
29_1,奈良県1区,100,50,0.5,馬淵澄夫,chudo,23,小林茂樹,ldp,18,5,rule_based
29_2,奈良県2区,100,55,0.55,高市早苗,ldp,44,池田英子,jcp,11,33,rule_based
29_3,奈良県3区,100,51,0.51,田野瀬太道,ldp,28,原山大亮,ishin,11,17,rule_based
30_1,和歌山県1区,100,59,0.59,山本大地,ldp,28,林佑美,dpfp,11,17,rule_based
30_2,和歌山県2区,100,59,0.59,世耕弘成,independent,48,畑野良弘,jcp,11,37,rule_based
31_1,鳥取県1区,100,55,0.55,石破茂,ldp,36,塚田成幸,jcp,7,29,rule_based
31_2,鳥取県2区,100,53,0.53,赤沢亮正,ldp,43,湯原俊二,chudo,8,35,rule_based
32_2,島根県2区,100,58,0.58,高見康裕,ldp,46,大塚聡子,chudo,9,37,rule_based
33_1,岡山県1区,100,52,0.52,逢沢一郎,ldp,30,山本安音,sansei,6,24,rule_based
33_2,岡山県2区,100,49,0.49,山下貴司,ldp,25,津村啓介,chudo,14,11,rule_based
33_3,岡山県3区,100,58,0.58,加藤勝信,ldp,49,原田亜希子,jcp,9,40,rule_based
34_1,広島県1区,100,56,0.56,岸田文雄,ldp,31,川田海栄,chudo,8,23,rule_based
34_2,広島県2区,100,56,0.56,平口洋,ldp,29,福田玄,dpfp,14,15,rule_based
34_5,広島県5区,100,59,0.59,佐藤公治,chudo,31,山本深,ldp,20,11,rule_based
34_6,広島県6区,100,61,0.61,小林史明,ldp,34,はたともこ,chudo,18,16,rule_based
35_1,山口県1区,100,62,0.62,高村正大,ldp,52,山崎珠江,sansei,5,47,rule_based
35_2,山口県2区,100,64,0.64,岸信千世,ldp,37,平岡秀夫,chudo,27,10,rule_based
35_3,山口県3区,100,66,0.66,林芳正,ldp,40,吹上政子,jcp,9,31,rule_based
36_1,徳島県1区,100,64,0.64,仁木博文,ldp,40,高橋永,chudo,13,27,rule_based
36_2,徳島県2区,100,53,0.53,山口俊一,ldp,38,飯泉嘉門,dpfp,7,31,rule_based
37_1,香川県1区,100,57,0.57,平井卓也,ldp,32,小川淳也,chudo,16,16,rule_based
37_2,香川県2区,100,63,0.63,瀬戸隆一,ldp,31,玉木雄一郎,dpfp,29,2,rule_based
37_3,香川県3区,100,63,0.63,大野敬太郎,ldp,49,細川修平,ishin,10,39,rule_based
38_1,愛媛県1区,100,62,0.62,塩崎彰久,ldp,28,石井智恵,dpfp,19,9,rule_based
38_2,愛媛県2区,100,63,0.63,白石洋一,chudo,34,井原巧,ldp,26,8,rule_based
38_3,愛媛県3区,100,75,0.75,長谷川淳二,ldp,59,萩原旭人,chudo,10,49,rule_based
39_1,高知県1区,100,64,0.64,中谷元,ldp,46,田所裕介,chudo,14,32,rule_based
39_2,高知県2区,100,65,0.65,尾崎正直,ldp,44,浜川百合子,jcp,11,33,rule_based
40_3,福岡県3区,100,56,0.56,古賀篤,ldp,23,仁戸田元気,chudo,20,3,rule_based
40_4,福岡県4区,100,51,0.51,宮内秀樹,ldp,25,許斐亮太郎,dpfp,19,6,rule_based
40_5,福岡県5区,100,54,0.54,栗原渉,ldp,38,川元健一,dpfp,8,30,rule_based
40_6,福岡県6区,100,48,0.48,鳩山二郎,ldp,36,近藤雅彦,dpfp,7,29,rule_based
40_7,福岡県7区,100,62,0.62,藤丸敏,ldp,47,亀田晃尚,chudo,15,32,rule_based
40_8,福岡県8区,100,40,0.4,麻生太郎,ldp,25,沖園理恵,reiwa,9,16,rule_based
40_9,福岡県9区,100,45,0.45,緒方林太郎,independent,22,三原朝利,ldp,12,10,rule_based
40_10,福岡県10区,100,57,0.57,城井崇,chudo,28,吉村悠,ldp,10,18,rule_based
40_11,福岡県11区,100,61,0.61,武田良太,ldp,24,村上智信,ishin,17,7,rule_based
41_1,佐賀県1区,100,72,0.72,岩田和親,ldp,51,原口一博,genzei,12,39,rule_based
41_2,佐賀県2区,100,65,0.65,古川康,ldp,41,大串博志,chudo,24,17,rule_based
42_2,長崎県2区,100,56,0.56,加藤竜祥,ldp,33,山田勝彦,chudo,19,14,rule_based
42_3,長崎県3区,100,65,0.65,金子容三,ldp,58,田崎耕太,chudo,7,51,rule_based
43_1,熊本県1区,100,53,0.53,木原稔,ldp,31,鎌田聡,chudo,12,19,rule_based
43_2,熊本県2区,100,58,0.58,西野太亮,ldp,38,前田智徳,sansei,11,27,rule_based
43_3,熊本県3区,100,62,0.62,坂本哲志,ldp,53,橋村りか,shamin,5,48,rule_based
43_4,熊本県4区,100,64,0.64,金子恭之,ldp,38,矢上雅義,ishin,11,27,rule_based
44_1,大分県1区,100,56,0.56,衛藤博昭,ldp,22,吉良州司,independent,14,8,rule_based
44_3,大分県3区,100,64,0.64,岩屋毅,ldp,44,小林華弥子,chudo,10,34,rule_based
45_2,宮崎県2区,100,69,0.69,江藤拓,ldp,49,長友慎治,dpfp,13,36,rule_based
45_3,宮崎県3区,100,67,0.67,古川禎久,ldp,58,高瀬大介,sansei,9,49,rule_based
46_1,鹿児島県1区,100,70,0.7,宮路拓馬,ldp,40,川内博史,chudo,22,18,rule_based
46_2,鹿児島県2区,100,57,0.57,三反園訓,ldp,45,松崎真琴,jcp,9,36,rule_based
46_3,鹿児島県3区,100,56,0.56,小里泰弘,ldp,35,野間健,chudo,21,14,rule_based
46_4,鹿児島県4区,100,72,0.72,森山裕,ldp,53,中村寿,dpfp,13,40,rule_based
47_1,沖縄県1区,100,54,0.54,国場幸之助,ldp,25,赤嶺政賢,jcp,15,10,rule_based
47_3,沖縄県3区,100,59,0.59,屋良朝博,chudo,33,島尻安伊子,ldp,20,13,rule_based
47_4,沖縄県4区,100,59,0.59,西銘恒三郎,ldp,32,山川仁,reiwa,17,15,rule_based
01_3,北海道3区,100,42,0.42,高木宏寿,ldp,18,荒井優,chudo,17,1,llm_calibrated
01_4,北海道4区,100,34,0.34,大築紅葉,chudo,17,中村裕之,ldp,14,3,llm_calibrated
01_5,北海道5区,100,32,0.32,和田義明,ldp,18,池田真紀,chudo,14,4,llm_calibrated
01_10,北海道10区,100,45,0.45,神谷裕,chudo,26,渡辺孝一,ldp,19,7,llm_calibrated
01_11,北海道11区,100,40,0.4,石川香織,jcp,21,中川紘一,ldp,18,3,llm_calibrated
03_3,岩手県3区,100,52,0.52,小沢一郎,chudo,27,藤原崇,ldp,23,4,llm_calibrated
04_1,宮城県1区,100,46,0.46,土井亨,ldp,19,岡本章子,chudo,15,4,llm_calibrated
04_3,宮城県3区,100,40,0.4,西村明宏,ldp,20,柳沢剛,chudo,17,3,llm_calibrated
07_3,福島県3区,100,52,0.52,小熊慎司,chudo,25,上杉謙太郎,ldp,22,3,llm_calibrated
08_5,茨城県5区,100,61,0.61,浅野哲,dpfp,32,鈴木拓海,ldp,29,3,llm_calibrated
09_4,栃木県4区,100,56,0.56,石坂太,ldp,37,藤岡隆雄,chudo,16,21,llm_calibrated
11_1,埼玉県1区,100,49,0.49,武正公一,chudo,24,村井英樹,ldp,22,2,llm_calibrated
11_3,埼玉県3区,100,48,0.48,黄川田仁志,ldp,24,竹内千春,chudo,19,5,llm_calibrated
11_5,埼玉県5区,100,50,0.5,枝野幸男,chudo,24,井原隆,ldp,23,1,llm_calibrated
11_6,埼玉県6区,100,68,0.68,大島敦,chudo,28,尾花瑛仁,ldp,21,7,llm_calibrated
11_7,埼玉県7区,100,57,0.57,小宮山泰子,chudo,30,中野英幸,ldp,27,3,llm_calibrated
11_10,埼玉県10区,100,50,0.5,坂本祐之輔,chudo,29,山口晋,ldp,21,8,llm_calibrated
12_1,千葉県1区,100,48,0.48,門山宏哲,ldp,22,田嶋要,chudo,22,0,llm_calibrated
12_4,千葉県4区,100,58,0.58,水沼秀幸,chudo,23,鹿嶋祐介,ldp,16,7,llm_calibrated
12_8,千葉県8区,100,53,0.53,本庄知史,jcp,28,松本泉,ldp,14,14,llm_calibrated
12_9,千葉県9区,100,57,0.57,奥野総一郎,chudo,24,田宮寿人,ldp,21,3,llm_calibrated
13_1,東京都1区,100,44,0.44,山田美樹,ldp,16,海江田万里,chudo,12,4,llm_calibrated
13_3,東京都3区,100,45,0.45,阿部祐美子,chudo,14,石崎徹,ishin,11,3,llm_calibrated
13_4,東京都4区,100,50,0.5,平将明,ldp,24,井戸正枝,dpfp,14,10,llm_calibrated
13_7,東京都7区,100,45,0.45,松尾明弘,chudo,15,丸川珠代,ldp,12,3,llm_calibrated
13_8,東京都8区,100,53,0.53,吉田晴美,chudo,22,門寛子,ldp,14,8,llm_calibrated
13_10,東京都10区,100,47,0.47,鈴木隼人,ldp,20,鈴木庸介,chudo,13,7,llm_calibrated
13_11,東京都11区,100,47,0.47,阿久津幸彦,chudo,15,下村博文,ldp,14,1,llm_calibrated
13_12,東京都12区,100,45,0.45,高木啓,ldp,11,中原翔太,chudo,9,2,llm_calibrated
13_13,東京都13区,100,57,0.57,森洋介,dpfp,22,土田慎,ldp,18,4,llm_calibrated
13_15,東京都15区,100,50,0.5,酒井菜摘,chudo,17,深見紗采,dpfp,10,7,llm_calibrated
13_16,東京都16区,100,47,0.47,大西洋平,ldp,23,柴田勝之,chudo,14,9,llm_calibrated
13_17,東京都17区,100,55,0.55,平沢勝栄,ldp,18,猪口幸子,ishin,13,5,llm_calibrated
13_18,東京都18区,100,57,0.57,福田かおる,ldp,27,松下玲子,chudo,24,3,llm_calibrated
13_22,東京都22区,100,45,0.45,伊藤達也,ldp,25,山花郁夫,chudo,16,9,llm_calibrated
13_23,東京都23区,100,52,0.52,川松真一朗,ldp,20,伊藤俊輔,chudo,19,1,llm_calibrated
13_24,東京都24区,100,54,0.54,萩生田光一,ldp,27,細屋椋,dpfp,14,13,llm_calibrated
14_1,神奈川県1区,100,54,0.54,篠原豪,chudo,20,浅川義治,ishin,19,1,llm_calibrated
14_2,神奈川県2区,100,54,0.54,新田章文,ldp,18,柳家東三楼,chudo,16,2,llm_calibrated
14_3,神奈川県3区,100,42,0.42,中西健治,ldp,20,中村武人,chudo,13,7,llm_calibrated
14_4,神奈川県4区,100,52,0.52,早稲田夕季,chudo,32,永田磨梨奈,ldp,18,14,llm_calibrated
14_5,神奈川県5区,100,53,0.53,坂井学,ldp,19,山崎誠,chudo,17,2,llm_calibrated
14_6,神奈川県6区,100,49,0.49,青柳陽一郎,chudo,29,古川直季,ldp,20,9,llm_calibrated
14_7,神奈川県7区,100,52,0.52,中谷一馬,chudo,27,鈴木馨祐,ldp,25,2,llm_calibrated
14_8,神奈川県8区,100,53,0.53,三谷英弘,ldp,28,江田憲司,chudo,25,3,llm_calibrated
14_12,神奈川県12区,100,55,0.55,星野剛士,ldp,29,阿部知子,chudo,18,11,llm_calibrated
14_14,神奈川県14区,100,46,0.46,赤間二郎,ldp,18,長友克洋,chudo,17,1,llm_calibrated
14_16,神奈川県16区,100,49,0.49,後藤祐一,chudo,25,佐藤主迪,ldp,24,1,llm_calibrated
15_1,新潟県1区,100,38,0.38,西村智奈美,chudo,13,内山航,ldp,13,0,llm_calibrated
20_2,長野県2区,100,42,0.42,下条みつ,chudo,20,藤田ひかる,ldp,14,6,llm_calibrated
21_4,岐阜県4区,100,61,0.61,加藤大博,ldp,32,今井雅人,chudo,28,4,llm_calibrated
22_2,静岡県2区,100,57,0.57,鈴木岳幸,chudo,33,井林辰憲,ldp,24,9,llm_calibrated
23_1,愛知県1区,100,55,0.55,吉田統彦,chudo,23,熊田裕通,ldp,19,4,llm_calibrated
23_2,愛知県2区,100,46,0.46,古川元久,dpfp,21,梅村忠司,genzei,9,12,llm_calibrated
