district_id,district_name,winner,winner_party,confidence,confidence_score,analysis_summary,key_factors,candidate_rankings
hokkaido-11,北海道第11区,石川香織,chudo,medium,0.68,石川氏（chudo）が3選の実績とSNSでの高い支持（ポジティブ40%、言及量高）で優位。女性候補としての注目度も高く、農家支援での実績が評価されている。三つ巴の戦いだが、宇都氏（sansei）の知名度不足、中川氏（LDP）の組織力不足で、石川氏が逃げ切る見通し。,"[""3選の実績"", ""女性候補への注目"", ""農家支援での評価""]","[{""rank"": 1, ""name"": ""石川香織"", ""party_id"": ""chudo""}, {""rank"": 2, ""name"": ""中川紘一"", ""party_id"": ""ldp""}, {""rank"": 3, ""name"": ""宇都隆史"", ""party_id"": ""sansei""}]"
hokkaido-12,北海道第12区,武部新,ldp,high,0.82,武部氏（LDP）が5選の圧倒的実績とSNSでの高い支持（ポジティブ45%、言及量高）でオホーツク地域を完全に掌握。漁協支援での実績は地域に深く根ざしており、川原田氏（chudo）の挑戦を寄せ付けない。武部氏の勝利は確実。,"[""5選の圧倒的実績"", ""オホーツク地域での地盤"", ""漁協支援での評価""]","[{""rank"": 1, ""name"": ""武部新"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""川原田英世"", ""party_id"": ""chudo""}]"
aomori-1,青森県第1区,升田世喜男,chudo,high,0.85,現職升田氏が世論調査で42%と大幅リード、SNSでも最高のポジティブ感情値0.45を記録。津島氏の自民党分裂による逆風が決定的で、組織票基盤の差が明確。升田氏の地元遊説での支持熱狂と1000人動員の集会成功が勢いを示している。斎藤氏は若者支持を集めているものの、全体への波及は限定的。,"[""自民党分裂による津島氏への逆風"", ""升田氏の強固な組織票基盤"", ""世論調査での14ポイント差""]","[{""rank"": 1, ""name"": ""升田世喜男"", ""party_id"": ""chudo""}, {""rank"": 2, ""name"": ""津島淳"", ""party_id"": ""ldp""}, {""rank"": 3, ""name"": ""斎藤美緒"", ""party_id"": ""jcp""}, {""rank"": 4, ""name"": ""加藤勉"", ""party_id"": ""sansei""}]"
aomori-2,青森県第2区,神田潤一,ldp,medium,0.65,神田氏が世論調査で38%と僅差リードするが、金浜氏との差は6ポイントと接戦。SNSでも神田氏が最高のポジティブ感情値0.4だが差は小さい。八戸港漁業問題での松尾氏の漁協支持が変動要素。神田氏の現職優位と業界団体支持が決め手となるが、金浜氏の野党票結集と若年層SNS戦略が追い上げ要因。,"[""現職優位と業界団体支持"", ""野党票の分散状況"", ""漁業協同組合票の動向""]","[{""rank"": 1, ""name"": ""神田潤一"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""金浜亨"", ""party_id"": ""dpfp""}, {""rank"": 3, ""name"": ""松尾和彦"", ""party_id"": ""chudo""}, {""rank"": 4, ""name"": ""久保将"", ""party_id"": ""jcp""}]"
aomori-3,青森県第3区,岡田華子,chudo,low,0.55,3現職による三つ巴の激戦で、岡田氏が世論調査35%で僅差リード。SNSでも最高のポジティブ感情値0.5を記録するが、佐原氏も0.4と高水準。岡田氏の与党基盤と女性支援への注目が優位要素だが、木村氏のりんご農家票、佐原氏の若年層支持が変動要素。無回答10%の高さが情勢の流動性を示している。,"[""3現職による票の分散"", ""農業票の動向"", ""若年層の投票行動""]","[{""rank"": 1, ""name"": ""岡田華子"", ""party_id"": ""chudo""}, {""rank"": 2, ""name"": ""木村次郎"", ""party_id"": ""ldp""}, {""rank"": 3, ""name"": ""佐原若子"", ""party_id"": ""reiwa""}]"
iwate-1,岩手県第1区,階猛,chudo,medium,0.65,現職の階猛がニュース分析・SNS感情分析ともに優位な状況。7回当選の実績と組織票基盤、SNSでの高いポジティブ評価（45%）が支持を示す。ただし5候補による票割れリスクがあり、自民党新人米内紘正も一定の支持を獲得。地域経済活性化への期待が階猛に有利に働くと予測されるが、多候補乱立による流動性が確信度を下げる要因となっている。,"[""現職の実績と組織力"", ""5候補による票割れ"", ""SNSでの高い支持率""]","[{""rank"": 1, ""name"": ""階猛"", ""party_id"": ""chudo""}, {""rank"": 2, ""name"": ""米内紘正"", ""party_id"": ""ldp""}, {""rank"": 3, ""name"": ""佐々木大成"", ""party_id"": ""sansei""}, {""rank"": 4, ""name"": ""吉田恭子"", ""party_id"": ""jcp""}, {""rank"": 5, ""name"": ""小笠原勇治"", ""party_id"": ""independent""}]"
iwate-2,岩手県第2区,鈴木俊一,ldp,high,0.75,現職鈴木俊一が11回当選の圧倒的な実績と経験を持ち、ニュース・SNS両分析で安定した支持を獲得。SNSでのポジティブ評価40%は新人佐々木真琴の35%を上回る。2人対決のため票が分散せず、現職の組織力と実績アピールが効果的。沿岸地方の復興実績と防災対策への評価が鈴木に有利。佐々木の若手アピールも一定の支持はあるが、経験差が決定的要因となる。,"[""11回当選の圧倒的実績"", ""2人対決による票集約"", ""復興・防災実績への評価""]","[{""rank"": 1, ""name"": ""鈴木俊一"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""佐々木真琴"", ""party_id"": ""dpfp""}]"
iwate-3,岩手県第3区,小沢一郎,chudo,medium,0.7,小沢一郎が19回当選の圧倒的な政治経験と地元密着の地盤を持ち、SNSでも最高の50%ポジティブ評価を獲得。ニュース分析でも「地盤強固」と評価される。藤原崇との接戦が予想されるものの、小沢の政治手腕への評価が根強い。参政党の及川泰輔は支持が限定的。世代交代を求める声もあるが、小沢の実績と影響力が決定要因となると予測される。,"[""19回当選の政治経験"", ""地元密着の強固な地盤"", ""SNSでの高い支持率50%""]","[{""rank"": 1, ""name"": ""小沢一郎"", ""party_id"": ""chudo""}, {""rank"": 2, ""name"": ""藤原崇"", ""party_id"": ""ldp""}, {""rank"": 3, ""name"": ""及川泰輔"", ""party_id"": ""sansei""}]"
miyagi-1,宮城県第1区,岡本章子,chudo,medium,0.65,5人立候補の混戦だが、現職の岡本章子がSNSで最も高い好感度（55％）を示し、環境・子育て支援への評価も高い。土井亨自民現職も健闘するが、期日前投票26％増が示す無党派層の動きが岡本に有利。投票率低下懸念はあるものの、現職としての組織力と政策評価で優位を保つ。参政党ローレンスも一定支持あるが届かず。,"[""現職の政策評価"", ""無党派層の動向"", ""期日前投票増加""]","[{""rank"": 1, ""name"": ""岡本章子"", ""party_id"": ""chudo""}, {""rank"": 2, ""name"": ""土井亨"", ""party_id"": ""ldp""}, {""rank"": 3, ""name"": ""ローレンス綾子"", ""party_id"": ""sansei""}, {""rank"": 4, ""name"": ""高橋浩司"", ""party_id"": ""ishin""}, {""rank"": 5, ""name"": ""中嶋廉"", ""party_id"": ""jcp""}]"
miyagi-2,宮城県第2区,渡辺勝幸,ldp,medium,0.6,東北最多有権者の激戦区で5人が票を分け合う構図。高市総理人気による自民追い風と連合宮城の中道推薦見送りが情勢を左右。鎌田さゆりはSNSで好感度55％と高いが、連合分裂で組織力低下。渡辺勝幸は新人ながら自民の追い風と高市応援効果で浮上。和田政宗の参政党も神谷代表応援で無党派取り込み図るが、自民優位の流れを覆すには至らず。,"[""自民党への追い風"", ""連合組織の分裂"", ""無党派層の動向""]","[{""rank"": 1, ""name"": ""渡辺勝幸"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""鎌田さゆり"", ""party_id"": ""chudo""}, {""rank"": 3, ""name"": ""和田政宗"", ""party_id"": ""sansei""}, {""rank"": 4, ""name"": ""早坂敦"", ""party_id"": ""ishin""}, {""rank"": 5, ""name"": ""佐藤理々香"", ""party_id"": ""dpfp""}]"
miyagi-3,宮城県第3区,西村明宏,ldp,high,0.75,現職対決の構図だが、西村明宏がSNSで50％の高い好感度を記録し、経済成長・インフラ整備への評価も高い。6期の経験と地盤の強さに加え、寒波による投票率低下予想が自民組織票に有利。柳沢剛中道現職も健闘するが、全国的な自民追い風の中で劣勢。無所属2候補は存在感薄く、現職2人の争いに集約される見通し。,"[""現職の経験と実績"", ""投票率低下による組織票優位"", ""自民党への追い風""]","[{""rank"": 1, ""name"": ""西村明宏"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""柳沢剛"", ""party_id"": ""chudo""}, {""rank"": 3, ""name"": ""林萌子"", ""party_id"": ""sansei""}, {""rank"": 4, ""name"": ""結城孝"", ""party_id"": ""independent""}, {""rank"": 5, ""name"": ""浅田晃司"", ""party_id"": ""independent""}]"
miyagi-4,宮城県第4区,安住淳,chudo,medium,0.62,全国注目の3人による激戦。安住淳は10期のベテランとしてSNSでも55％の高い好感度を維持し、社会保障・地域発展への評価が高い。森下千里は2021年の2万票差リベンジを狙うが、SNS感情は45％にとどまる。佐野誠は神谷代表応援と子育て政策で話題だが、票割れ要因の域を出ない。安住の地盤と実績が森下の逆転攻勢を上回る見通し。,"[""現職の実績と地盤"", ""リベンジ戦の構図"", ""参政党による票割れ""]","[{""rank"": 1, ""name"": ""安住淳"", ""party_id"": ""chudo""}, {""rank"": 2, ""name"": ""森下千里"", ""party_id"": ""ldp""}, {""rank"": 3, ""name"": ""佐野誠"", ""party_id"": ""sansei""}]"
miyagi-5,宮城県第5区,小野寺五典,ldp,high,0.8,小野寺五典が圧倒的に有利な情勢。9期の豊富な経験と防災政策への高い評価で、SNSでも50％の好感度を記録。寒波による投票率低下予想が業界団体票を持つ自民に追い風となる。境恒春中道新人も健闘するが、地盤・知名度で大きく劣勢。共産党候補は存在感薄く、小野寺の安定した勝利が見込まれる最も確実な選挙区。,"[""圧倒的な経験と実績"", ""投票率低下による組織票優位"", ""防災政策への評価""]","[{""rank"": 1, ""name"": ""小野寺五典"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""境恒春"", ""party_id"": ""chudo""}, {""rank"": 3, ""name"": ""結城豊"", ""party_id"": ""jcp""}]"
akita-1,秋田県第1区,冨樫博之,ldp,medium,0.65,現職5期の冨樫博之氏がSNSでは最も高い注目度と肯定的評価を獲得している。多候補乱立の中で現職の組織力と実績が優位性を発揮している。期日前投票率31.08%の高い有権者関心がある中、SNS分析では地元経済支援への評価が安定した支持基盤を示している。ただし維新の松浦大悟氏も一定の支持を得ており、完全優位ではない状況。,"[""現職5期の実績と組織力"", ""SNS最高評価と注目度"", ""多候補乱立による票分散効果""]","[{""rank"": 1, ""name"": ""冨樫博之"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""松浦大悟"", ""party_id"": ""ishin""}, {""rank"": 3, ""name"": ""木村佐知子"", ""party_id"": ""dpfp""}, {""rank"": 4, ""name"": ""早川周作"", ""party_id"": ""chudo""}, {""rank"": 5, ""name"": ""佐藤美和子"", ""party_id"": ""sansei""}, {""rank"": 6, ""name"": ""鈴木知"", ""party_id"": ""jcp""}]"
akita-2,秋田県第2区,福原淳嗣,ldp,low,0.55,現職同士の一騎打ちで、福原淳嗣氏が僅差で優勢と予測される。SNS分析では福原氏が農業政策で若干のアドバンテージを持つものの、緑川貴士氏も環境保護で一定の支持を獲得している。両候補とも現職であり組織票の争いとなる中、農業県である秋田での農業政策への期待が福原氏に有利に働いている。ただし接戦であり流動的な情勢。,"[""農業政策への期待"", ""現職対現職の組織戦"", ""県南地方の地域特性""]","[{""rank"": 1, ""name"": ""福原淳嗣"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""緑川貴士"", ""party_id"": ""chudo""}]"
akita-3,秋田県第3区,御法川信英,ldp,medium,0.7,7期の御法川信英氏がSNSで最も高い評価と注目度を獲得している。地域医療と高齢者福祉での実績が高く評価され、高齢化が進む県北地方で強い支持基盤を持っている。村岡敏英氏も現職3期の安定した支持があるが、SNSでの注目度と評価で劣っている。御法川氏の長期の地盤と医療福祉分野での専門性が決定的な優位性となっている。,"[""7期の圧倒的実績"", ""地域医療・高齢者福祉への専門性"", ""SNSでの高評価""]","[{""rank"": 1, ""name"": ""御法川信英"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""村岡敏英"", ""party_id"": ""dpfp""}]"
yamagata-1,山形県第1区,原田和広,chudo,medium,0.65,FNN世論調査では自民優勢とされるが、SNS分析では現職の原田氏（中道）が高い言及数とポジティブ感情を獲得している。原田氏の農業政策への評価が高く、現職の実績が評価されている。自民候補は新人で支部長経験をアピールしているが、SNS上の支持は中程度に留まる。物価高対策が争点となる中、現職の具体的施策が有権者に響いている模様。,"[""現職実績への評価"", ""農業政策の支持"", ""SNS上のポジティブ感情""]","[{""rank"": 1, ""name"": ""原田和広"", ""party_id"": ""chudo""}, {""rank"": 2, ""name"": ""遠藤寛明"", ""party_id"": ""ldp""}, {""rank"": 3, ""name"": ""桜田恭子"", ""party_id"": ""sansei""}]"
yamagata-2,山形県第2区,鈴木憲和,ldp,medium,0.6,現職同士の激戦。FNN調査では自民優勢だが、SNSでは教育・医療で実績のある民主候補菊池氏も健闘している。鈴木氏は当選5回のベテランで組織力が強いが、SNS上では感情が拮抗している。庄内地方の投票アクセス課題や期日前投票の遅れが影響する可能性。物価高対策での差別化が最終的な勝敗を分ける要因となりそう。,"[""現職対決の激戦"", ""組織力vs実績アピール"", ""投票率への影響""]","[{""rank"": 1, ""name"": ""鈴木憲和"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""菊池大二郎"", ""party_id"": ""dpfp""}, {""rank"": 3, ""name"": ""岩本康嗣"", ""party_id"": ""jcp""}]"
yamagata-3,山形県第3区,加藤鮎子,ldp,high,0.8,FNN調査とSNS分析が一致して加藤氏優勢を示している。当選4回の現職として交通インフラ整備などの実績が評価され、SNS上でも最も高いポジティブ感情を獲得。4人立候補で票が分散する中、組織的基盤と知名度で他候補を圧倒している。民主の喜多氏が若者雇用でアピールするも、現職の安定感には及ばない状況。,"[""現職の圧倒的実績"", ""4候補分散での組織力"", ""交通インフラ評価""]","[{""rank"": 1, ""name"": ""加藤鮎子"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""喜多恒介"", ""party_id"": ""dpfp""}, {""rank"": 3, ""name"": ""落合拓磨"", ""party_id"": ""chudo""}, {""rank"": 4, ""name"": ""遠藤和史"", ""party_id"": ""sansei""}]"
fukushima-1,福島県第1区,金子恵美,chudo,medium,0.65,ニュース分析では具体的な情勢データが不足している一方、SNS分析では金子恵美現職への支持が最も高く、ポジティブ感情が50%を記録している。現職として4回の当選実績があり、復興支援での実績が評価されている。西山尚利は自民党候補として一定の支持基盤があるが、SNSでの言及量は中程度に留まる。亀岡偉一は無所属新人として知名度・支持基盤ともに不足している状況。,"[""現職の実績と知名度"", ""復興支援への評価"", ""政界再編による影響""]","[{""rank"": 1, ""name"": ""金子恵美"", ""party_id"": ""chudo""}, {""rank"": 2, ""name"": ""西山尚利"", ""party_id"": ""ldp""}, {""rank"": 3, ""name"": ""亀岡偉一"", ""party_id"": ""independent""}]"
fukushima-2,福島県第2区,玄葉光一郎,chudo,low,0.55,ニュース分析では玄葉光一郎と根本拓の接戦状態が報じられ、玄葉氏自身が「崖っぷち」と表現するほどの激戦となっている。しかしSNS分析では玄葉氏への支持が根本氏を上回り、ポジティブ感情が60%と高い。5人立候補により票が分散される中、玄葉氏は公明票獲得に注力し、11回当選の実績と外交政策への評価が強みとなっている。参政党候補の存在により保守票分裂が玄葉氏に有利に働く可能性がある。,"[""現職同士の激戦"", ""公明票の動向"", ""保守票の分裂""]","[{""rank"": 1, ""name"": ""玄葉光一郎"", ""party_id"": ""chudo""}, {""rank"": 2, ""name"": ""根本拓"", ""party_id"": ""ldp""}, {""rank"": 3, ""name"": ""丸本由美子"", ""party_id"": ""jcp""}, {""rank"": 4, ""name"": ""遠藤雄大"", ""party_id"": ""independent""}, {""rank"": 5, ""name"": ""大山里幸子"", ""party_id"": ""sansei""}]"
fukushima-3,福島県第3区,小熊慎司,chudo,medium,0.7,ニュース分析では具体的な情勢データが不足しているが、SNS分析では小熊慎司現職への支持が明確に表れている。5回当選の実績を持つ現職として、震災復興と社会福祉分野での取り組みが高く評価されている。上杉謙太郎は自民党現職として2回当選の実績があるが、SNSでの支持は小熊氏を下回る。金山屯は無所属新人として支持基盤が限定的で、SNSでのネガティブ評価が50%と高い状況。,"[""現職の実績差"", ""震災復興への取り組み評価"", ""SNSでの明確な支持差""]","[{""rank"": 1, ""name"": ""小熊慎司"", ""party_id"": ""chudo""}, {""rank"": 2, ""name"": ""上杉謙太郎"", ""party_id"": ""ldp""}, {""rank"": 3, ""name"": ""金山屯"", ""party_id"": ""independent""}]"
fukushima-4,福島県第4区,斎藤裕喜,chudo,medium,0.6,ニュース分析では具体的な情勢データが不足しているが、SNS分析では斎藤裕喜現職への支持が最も高く、ポジティブ感情が50%を記録している。1回当選の現職として地域支援での実績が評価されている。坂本竜太郎も同じく1回当選の自民党現職だが、SNSでの支持は斎藤氏を下回る。山口洋太は民主党候補として政策改革を掲げるが、支持基盤の弱さがSNSでも指摘されている。,"[""現職同士の対決"", ""地域支援実績の差"", ""SNSでの支持傾向""]","[{""rank"": 1, ""name"": ""斎藤裕喜"", ""party_id"": ""chudo""}, {""rank"": 2, ""name"": ""坂本竜太郎"", ""party_id"": ""ldp""}, {""rank"": 3, ""name"": ""山口洋太"", ""party_id"": ""dpfp""}, {""rank"": 4, ""name"": ""熊谷智"", ""party_id"": ""jcp""}]"
ibaraki-1,茨城県第1区,福島伸享,independent,medium,0.65,世論調査で福島氏が35%でトップ、田所氏30%と僅差。SNSでも福島氏は高い関心と好意的評価を得ている。現職としての実績と地元密着活動が評価され、独立系としての中立的立場が幅広い支持を獲得。田所氏のLDP組織票も強固だが、福島氏の現職実績とSNSでの好感度の高さが決定打となりそう。川端氏の若者向けアピールも一定の効果を示している。,"[""現職実績の評価"", ""地元密着活動"", ""独立系の中立性""]","[{""rank"": 1, ""name"": ""福島伸享"", ""party_id"": ""independent""}, {""rank"": 2, ""name"": ""田所嘉徳"", ""party_id"": ""ldp""}, {""rank"": 3, ""name"": ""川端絢美"", ""party_id"": ""sansei""}, {""rank"": 4, ""name"": ""大内久美子"", ""party_id"": ""jcp""}]"
ibaraki-2,茨城県第2区,額賀福志郎,ldp,high,0.85,額賀氏が世論調査で42%と大幅リード、当選14回の圧倒的経験と安定感がSNSでも高く評価されている。業界団体との強固な関係と組織票基盤が盤石。谷川氏のDPFP候補としての追い上げはあるものの、25%と大きな差がある。地域の産業振興への期待と政治経験への信頼が決定的要因となっている。,"[""圧倒的政治経験"", ""組織票基盤"", ""業界団体支持""]","[{""rank"": 1, ""name"": ""額賀福志郎"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""谷川祐一"", ""party_id"": ""dpfp""}, {""rank"": 3, ""name"": ""宮内匠"", ""party_id"": ""sansei""}, {""rank"": 4, ""name"": ""小沼巧"", ""party_id"": ""chudo""}]"
ibaraki-3,茨城県第3区,葉梨康弘,ldp,medium,0.7,葉梨氏が38%でトップだが、加川氏の24%、斎藤氏の20%と追い上げが激しい。SNSでは葉梨氏への批判も見られるが、防災実績への評価も高い。れいわ加川氏の消費税廃止主張が若年層に響いており、参政党斎藤氏の女性活躍アピールも一定の支持を得ている。現職の安定感と実績が最終的には勝利要因となる見込み。,"[""現職の防災実績"", ""組織票の安定性"", ""新勢力の票分散""]","[{""rank"": 1, ""name"": ""葉梨康弘"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""加川裕美"", ""party_id"": ""reiwa""}, {""rank"": 3, ""name"": ""斎藤真衣"", ""party_id"": ""sansei""}, {""rank"": 4, ""name"": ""梶岡博樹"", ""party_id"": ""chudo""}]"
ibaraki-4,茨城県第4区,梶山弘志,ldp,high,0.9,梶山氏が55%の圧倒的支持率で、SNSでも高い評価を獲得している。当選9回の実績と農協との強固な関係、中小企業支援での成果が地域に深く浸透。吉田氏は30%だが、SNSでの反応は厳しく、二候補制での選択肢不足も梶山氏に有利。農業政策での実績と組織基盤の強さが決定的。,"[""圧倒的支持率"", ""農協との強固な関係"", ""対抗馬不在""]","[{""rank"": 1, ""name"": ""梶山弘志"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""吉田翔"", ""party_id"": ""jcp""}]"
ibaraki-5,茨城県第5区,鈴木拓海,ldp,low,0.55,鈴木氏が40%、浅野氏32%の僅差で、無回答も28%と高い。SNSでは浅野氏の現職実績への評価が高く、エネルギー政策での専門性も評価されている。一方、鈴木氏は若手候補としての期待もあるが、SNSでは批判的な声も目立つ。つくば・土浦の都市部特性と無党派層の動向が最終的な勝敗を左右する。,"[""僅差の世論調査"", ""無党派層の動向"", ""エネルギー政策争点""]","[{""rank"": 1, ""name"": ""鈴木拓海"", ""party_id"": ""ldp""}, {""rank"": 2, ""name"": ""浅野哲"", ""party_id"": ""dpfp""}]"
