block_id,block_name,party,predicted_seats,vote_share_estimate,analysis_summary
kyushu,九州ブロック,chudo,2,0.12,佐賀2区、福岡10区で議席獲得予定。中道路線が保守層の一部に浸透し、自民への批判票の受け皿として機能
kyushu,九州ブロック,dpfp,2,0.11,長崎1区で議席獲得予定。労働組合の組織票と農村部での一定の支持基盤を背景に比例でも議席確保
kyushu,九州ブロック,jcp,1,0.05,福岡都市部を中心とした固定支持層により最低限の議席を確保。沖縄での基地問題への関心も支持に寄与
kyushu,九州ブロック,reiwa,1,0.04,経済格差への不満を背景に、福岡都市部の若年層を中心に一定の支持を獲得し、ぎりぎりで議席確保
minamikanto,南関東ブロック,chudo,7,0.32,山梨1区勝利予測が示す通り、このブロックで最も勢いがある野党として都市部で支持を集める
minamikanto,南関東ブロック,ldp,6,0.28,山梨2区勝利予測と都市部での一定支持を考慮。ただし野党系が優勢な情勢で議席減は避けられない
minamikanto,南関東ブロック,ishin,3,0.14,関西以外でも一定の支持基盤を持ち、都市部の千葉・神奈川で支持層を拡大
minamikanto,南関東ブロック,dpfp,2,0.09,労働組合基盤と中道層の支持で安定した得票を確保
minamikanto,南関東ブロック,jcp,2,0.08,都市部での固定支持層により安定した議席獲得
minamikanto,南関東ブロック,reiwa,1,0.04,都市部の一部で支持を集めるが議席獲得は厳しい情勢
minamikanto,南関東ブロック,hoshuto,1,0.03,保守層の一部支持で最低限の議席確保
minamikanto,南関東ブロック,sansei,1,0.02,新興政党として一定の注目を集め辛うじて議席獲得
shikoku,四国ブロック,ldp,2,0.35,小選挙区で10区中6区を制する強さを示すが、比例では野党分散により得票率は35%程度に抑制される見込み
shikoku,四国ブロック,chudo,1,0.18,香川1区での勝利に加え、野党第一勢力として比例でも一定の支持を獲得し1議席確保
shikoku,四国ブロック,ishin,1,0.15,与党連立として四国でも支持を拡大。地方での改革志向票を取り込み1議席獲得
shikoku,四国ブロック,dpfp,1,0.12,香川2区での勝利を背景に、労働組合支持層を中心とした安定的な票基盤で1議席
shikoku,四国ブロック,sansei,1,0.1,高知1区での勝利により勢いがあり、保守系無党派層からの支持で最後の1議席を獲得
tohoku,東北ブロック,ldp,4,0.32,東北の農業地域を中心とした保守基盤は維持するが、経済政策への不満で支持率は低下傾向
tohoku,東北ブロック,chudo,3,0.25,都市部の仙台周辺と地方都市部で支持拡大、穏健な政治変革を求める層の受け皿として成長
tohoku,東北ブロック,dpfp,2,0.18,労働組合の組織票と農業政策への期待から一定の支持を確保、特に宮城・福島で強み
tohoku,東北ブロック,ishin,1,0.12,仙台市などの都市部で改革志向の有権者から支持獲得、地方部では浸透に課題
tohoku,東北ブロック,jcp,1,0.08,福島原発問題への取り組みと格差是正政策で固定支持層を維持
tohoku,東北ブロック,reiwa,1,0.05,経済格差への不満と反原発の立場で一定の支持を獲得、特に若年層から支持
tokai,東海ブロック,ldp,7,32.5,小選挙区で16議席中13議席を獲得予定だが、比例では減税日本の地盤効果により得票率は抑制される
tokai,東海ブロック,chudo,4,20.8,小選挙区での9議席獲得と堅調な組織力により、比例でも安定した得票を確保
tokai,東海ブロック,genzei,3,15.2,愛知県での強固な地盤と河村市長効果により、全国平均を大幅に上回る得票率を獲得
tokai,東海ブロック,ishin,2,12.1,名古屋都市圏での改革志向層の支持と、維新ブランドの浸透により一定の議席を確保
tokai,東海ブロック,dpfp,2,11.3,小選挙区2議席獲得の勢いと労組基盤により、比例でも堅実な得票を維持
tokai,東海ブロック,jcp,1,4.8,固定支持層により最低限の得票は確保するが、議席獲得は厳しい情勢
tokai,東海ブロック,hoshuto,1,4.2,保守層の一部取り込みと全国的な注目度上昇により、1議席確保の可能性
tokai,東海ブロック,reiwa,1,3.7,都市部での無党派層の支持により、ギリギリで1議席獲得の可能性
tokyo,東京ブロック,ldp,5,26.5,都市部での支持率低下傾向があるものの、安定した組織票により一定の議席を確保
tokyo,東京ブロック,chudo,4,22.0,都市部リベラル層の支持を集め、東京では強い影響力を持つ新興勢力として躍進
tokyo,東京ブロック,ishin,3,18.5,改革志向の都市部有権者への訴求力が強く、東京でも一定の支持基盤を構築
tokyo,東京ブロック,dpfp,2,12.8,中道路線が都市部の無党派層に浸透し、安定した支持を獲得
tokyo,東京ブロック,jcp,2,10.2,東京都市部での組織的な支持基盤を活かし、議席を維持
tokyo,東京ブロック,reiwa,1,4.8,若年層や経済格差に関心の高い有権者からの支持で最低限の議席確保
tokyo,東京ブロック,hoshuto,1,3.2,保守層の一部支持により、ドント方式の恩恵を受けて1議席獲得
tokyo,東京ブロック,genzei,1,2.0,税制改革への関心から一定の支持を得て、僅差で議席確保
